iter	Passed	Remaining
356	712	1283
357	714	1281
358	716	1279
359	718	1277
360	723	1281
361	725	1279
362	727	1276
363	728	1273
364	730	1270
365	732	1269
366	734	1266
367	736	1265
368	738	1262
369	739	1259
370	741	1256
371	742	1253
372	744	1251
373	745	1248
374	747	1245
375	749	1243
376	750	1240
377	753	1239
378	756	1238
379	760	1240
380	762	1238
381	763	1235
382	768	1237
383	769	1235
384	771	1231
385	773	1230
386	775	1228
387	776	1225
388	778	1222
389	780	1220
390	785	1223
391	787	1221
392	789	1219
393	791	1216
394	792	1214
395	794	1211
396	796	1209
397	798	1207
398	800	1205
399	803	1204
400	805	1202
401	806	1200
402	808	1197
403	810	1195
404	811	1192
405	813	1189
406	814	1187
407	816	1184
408	818	1182
409	819	1179
410	820	1175
411	822	1173
412	824	1171
413	829	1174
414	831	1172
415	833	1170
416	834	1167
417	836	1164
418	837	1161
419	839	1159
420	840	1156
421	842	1153
422	844	1151
423	845	1149
424	847	1147
425	849	1144
426	850	1141
427	858	1146
428	860	1145
429	861	1142
430	863	1140
431	865	1137
432	866	1134
433	867	1131
434	869	1129
435	871	1126
436	872	1123
437	873	1120
438	875	1118
439	877	1116
440	878	1113
441	879	1110
442	881	1108
443	882	1105
444	884	1102
445	885	1100
446	889	1099
447	891	1098
448	893	1096
449	894	1093
450	896	1091
451	897	1088
452	898	1085
453	900	1083
454	902	1080
455	903	1077
456	904	1075
457	906	1072
458	907	1070
459	909	1067
460	910	1064
461	911	1062
462	913	1059
463	915	1057
464	917	1056
465	920	1054
466	922	1053
467	929	1057
468	932	1055
469	934	1053
470	935	1051
471	937	1048
472	939	1046
473	940	1043
474	941	1041
475	943	1038
476	944	1036
477	946	1033
478	947	1030
479	949	1028
480	951	1026
481	953	1024
482	955	1023
483	957	1020
484	958	1018
485	959	1015
486	962	1013
487	963	1010
488	964	1007
489	965	1005
490	967	1003
491	969	1000
492	970	997
493	971	995
494	973	992
495	974	990
496	981	993
497	984	992
498	985	989
499	987	987
500	988	984
501	990	982
502	991	980
503	993	977
504	994	974
505	995	972
506	997	969
507	998	967
508	1001	965
509	1002	963
510	1003	960
511	1005	958
512	1006	955
513	1008	953
514	1009	950
515	1010	947
516	1012	945
517	1013	943
518	1014	940
519	1016	937
520	1017	935
521	1018	932
522	1020	930
523	1023	929
524	1031	932
525	1032	930
526	1035	929
527	1036	926
528	1038	924
529	1039	921
530	1041	919
531	1042	916
532	1044	914
533	1045	912
534	1046	909
535	1048	907
536	1051	906
537	1054	905
538	1056	903
539	1058	901
540	1059	898
541	1061	897
542	1063	895
543	1066	893
544	1068	891
545	1069	889
546	1071	887
547	1073	885
548	1074	882
549	1075	880
550	1077	877
551	1078	875
552	1080	873
553	1081	870
554	1083	868
555	1084	866
556	1087	865
557	1115	883
558	1137	897
559	1139	895
560	1140	892
561	1143	890
562	1144	888
563	1147	886
564	1149	884
565	1151	882
566	1153	880
567	1155	878
568	1157	876
569	1158	874
570	1160	872
571	1162	870
572	1166	868
573	1167	866
574	1170	865
575	1171	862
576	1174	861
577	1176	859
578	1178	856
579	1180	854
580	1187	856
581	1189	853
582	1190	851
583	1192	849
584	1198	850
585	1199	847
586	1201	845
587	1202	842
588	1204	840
589	1205	837
590	1206	834
591	1208	832
592	1209	830
593	1211	827
594	1212	825
595	1214	823
596	1215	820
597	1216	818
598	1218	815
599	1219	813
600	1221	811
601	1222	808
602	1224	805
603	1226	803
604	1227	801
605	1228	798
606	1230	796
607	1231	793
608	1232	791
609	1234	788
610	1238	788
611	1241	787
612	1243	784
613	1245	783
614	1247	781
615	1249	778
616	1251	776
617	1253	774
618	1254	772
619	1255	769
620	1257	767
621	1264	768
622	1266	766
623	1268	764
624	1269	761
625	1270	759
626	1272	757
627	1273	754
628	1275	752
629	1276	749
630	1278	747
631	1279	745
632	1280	742
633	1281	740
634	1285	738
635	1287	736
636	1289	735
637	1291	733
638	1297	733
639	1305	734
640	1308	732
641	1309	730
642	1312	728
643	1313	726
644	1315	723
645	1317	721
646	1319	719
647	1320	717
648	1325	716
649	1326	714
650	1328	712
651	1330	710
652	1331	707
653	1333	705
654	1335	703
655	1336	701
656	1338	698
657	1339	696
658	1341	694
659	1343	691
660	1344	689
661	1346	687
662	1348	685
663	1351	683
664	1353	681
665	1356	680
666	1359	678
667	1362	676
668	1363	674
669	1365	672
670	1366	670
671	1368	667
672	1369	665
673	1371	663
674	1374	661
675	1376	659
676	1377	657
677	1379	655
678	1380	652
679	1383	650
680	1385	649
681	1387	647
682	1389	645
683	1391	642
684	1395	641
685	1398	640
686	1400	637
687	1401	635
688	1403	633
689	1404	631
690	1406	628
691	1408	626
692	1409	624
693	1411	622
694	1413	620
695	1415	618
696	1416	615
697	1418	613
698	1420	611
699	1424	610
700	1425	608
701	1428	606
702	1429	604
703	1431	601
704	1432	599
705	1433	597
706	1435	594
707	1436	592
708	1437	590
709	1440	588
710	1441	585
711	1442	583
712	1443	581
713	1445	578
714	1448	577
715	1450	575
716	1452	573
717	1454	571
718	1455	568
719	1456	566
720	1458	564
721	1460	562
722	1461	559
723	1462	557
724	1464	555
725	1466	553
726	1467	551
727	1469	548
728	1470	546
729	1471	544
730	1473	542
731	1475	540
732	1477	538
733	1478	535
734	1480	533
735	1482	531
736	1484	529
737	1485	527
738	1486	525
739	1489	523
740	1492	521
741	1493	519
742	1495	517
743	1496	515
744	1497	512
745	1499	510
746	1501	508
747	1502	506
748	1503	503
749	1505	501
750	1506	499
751	1508	497
752	1509	495
753	1510	492
754	1513	491
755	1517	489
756	1519	487
757	1524	486
758	1526	484
759	1527	482
760	1529	480
761	1531	478
762	1532	475
763	1533	473
764	1535	471
765	1537	469
766	1538	467
767	1540	465
768	1541	463
769	1542	460
770	1543	458
771	1545	456
772	1547	454
773	1548	452
774	1550	450
775	1552	448
776	1556	446
777	1558	444
778	1559	442
779	1562	440
780	1565	439
781	1567	436
782	1568	434
783	1570	432
784	1572	430
785	1574	428
786	1575	426
787	1577	424
788	1578	422
789	1580	420
790	1585	418
791	1590	417
792	1592	415
793	1593	413
794	1595	411
795	1597	409
796	1599	407
797	1600	405
798	1602	403
799	1604	401
800	1607	399
801	1608	397
802	1609	394
803	1611	392
804	1612	390
805	1613	388
806	1615	386
807	1620	385
808	1622	383
809	1624	381
810	1627	379
811	1628	377
812	1630	375
813	1632	372
814	1634	370
815	1635	368
816	1637	366
817	1638	364
818	1640	362
819	1641	360
820	1642	358
821	1644	356
822	1645	353
823	1648	352
824	1651	350
825	1653	348
826	1654	346
827	1656	344
828	1658	342
829	1659	339
830	1661	337
831	1663	335
832	1664	333
833	1665	331
834	1667	329
835	1668	327
836	1670	325
837	1672	323
838	1673	321
839	1675	319
840	1676	316
841	1677	314
842	1679	312
843	1683	311
844	1685	309
845	1687	307
846	1688	305
847	1690	302
848	1693	301
849	1696	299
850	1697	297
851	1701	295
852	1706	294
853	1707	291
854	1710	290
855	1711	287
856	1712	285
857	1713	283
858	1715	281
859	1716	279
860	1718	277
861	1722	275
862	1724	273
863	1726	271
864	1727	269
865	1729	267
866	1730	265
867	1732	263
868	1735	261
869	1736	259
870	1738	257
871	1739	255
872	1741	253
873	1742	251
874	1744	249
875	1745	247
876	1746	245
877	1748	242
878	1749	240
879	1750	238
880	1752	236
881	1755	234
882	1757	232
883	1760	230
884	1761	228
885	1762	226
886	1764	224
887	1765	222
888	1767	220
889	1768	218
890	1770	216
891	1771	214
892	1772	212
893	1774	210
894	1775	208
895	1777	206
896	1778	204
897	1784	202
898	1786	200
899	1788	198
900	1790	196
901	1792	194
902	1793	192
903	1794	190
904	1796	188
905	1798	186
906	1799	184
907	1800	182
908	1802	180
909	1803	178
910	1805	176
911	1806	174
912	1809	172
913	1810	170
914	1812	168
915	1813	166
916	1814	164
917	1816	162
918	1818	160
919	1820	158
920	1822	156
921	1823	154
922	1825	152
923	1827	150
924	1828	148
925	1829	146
926	1832	144
927	1833	142
928	1835	140
929	1836	138
930	1838	136
931	1839	134
932	1841	132
933	1842	130
934	1844	128
935	1848	126
936	1850	124
937	1852	122
938	1855	120
939	1864	119
940	1866	117
941	1868	115
942	1869	113
943	1871	110
944	1872	108
945	1873	106
946	1875	104
947	1876	102
948	1878	100
949	1879	98
950	1880	96
951	1882	94
952	1884	92
953	1885	90
954	1887	88
955	1888	86
956	1889	84
957	1890	82
958	1892	80
959	1895	78
960	1897	76
961	1898	75
962	1900	73
963	1901	71
964	1903	69
965	1904	67
966	1906	65
967	1907	63
968	1909	61
969	1910	59
970	1912	57
971	1913	55
972	1915	53
973	1917	51
974	1919	49
975	1923	47
976	1927	45
977	1930	43
978	1931	41
979	1933	39
980	1934	37
981	1936	35
982	1938	33
983	1939	31
984	1940	29
985	1942	27
986	1943	25
987	1945	23
988	1947	21
989	1948	19
990	1951	17
991	1953	15
992	1954	13
993	1955	11
994	1958	9
995	1959	7
996	1962	5
997	1965	3
998	1967	1
999	1969	0
